product_id,product_name,product_manfacture,product_price,product_image_url,product_available
231017,Clean & Clear Foaming Face Wash - 150ml,Clean & Clear,156.75,https://cdn01.pharmeasy.in/dam/products_otc/V83504/clean-clear-foaming-face-wash-150ml-2-1604309399.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
231405,Nycil Cool Classic Prickly Heat Talcum Powder - 150gm (cool Herbal 50g Free),Nycil,105.60,https://d1ljlatelrv1en.cloudfront.net/Nycil/resized/small/j84379-front.jpeg,True
28429,Sebamed Everyday Shampoo Bottle Of 200 Ml,SEBAMED,509.15,https://cdn01.pharmeasy.in/dam/products_otc/196232/sebamed-everyday-shampoo-bottle-of-200-ml-3-1604063741.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
171258,Oral-b Pro Health Anti-bacterial  Toothbrush,Oral-B,80.10,https://cdn01.pharmeasy.in/dam/products_otc/I05207/oral-b-pro-health-anti-bacterial-toothbrush-1-piece-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
175262,Colgate Toothpaste Strong Teeth - Dental Cream - Anti Cavity Tube Of 300 G,Colgate,139.65,https://cdn01.pharmeasy.in/dam/products_otc/I08223/colgate-toothpaste-strong-teeth-300gm-anti-cavity-saver-pack-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
192027,Colgate Visible White Sparking Mint Whitening Toothpaste Tube Of 200 G Saver Pack,Colgate,165.60,https://cdn01.pharmeasy.in/dam/products_otc/I12772/colgate-toothpaste-visible-white-sparkling-mint-200gm-whitening-saver-pack-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
172768,Acne Aid  Face Wash  Tube Of 60 G,ACNE AID,208.35,https://cdn01.pharmeasy.in/dam/products_otc/239549/acne-aid-face-wash-60gm-4-1597365774.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
237462,Everherb Fat Burner - Natural Herbal Blend - Accelerates Calorie Burning - Bottle Of 60,EverHerb,415.48,https://cdn01.pharmeasy.in/dam/products_otc/J29227/everherb-fat-burner-natural-herbal-blend-accelerates-calorie-burning-bottle-of-60-2-1606315847.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
175644,Himalaya Gentle Baby Shampoo Bottle Of 400 Ml,Himalaya Baby,240.00,https://cdn01.pharmeasy.in/dam/products_otc/281085/himalaya-gentle-baby-shampoo-400ml-india-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
232222,Zandu Pure Honey Cinnamon Green Tea & Lemon Health Food Jar Of 500 G,Zandu,297.00,https://cdn01.pharmeasy.in/dam/products_otc/F89719/zandu-pure-honey-with-cinnamon-green-tea-lemon-500gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
2933678,Caladryl Skin Allergy Lotion For All Skin Types - 125ml,Caladryl,80.83,https://cdn01.pharmeasy.in/dam/products_otc/C10117/caladryl-skin-allergy-lotion-for-all-skin-types-125ml-2-1603884620.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
223620,Lite Glo Face Wash Tube Of 100 Ml,Lite Glo,243.75,https://cdn01.pharmeasy.in/dam/products_otc/C84012/lite-glo-face-wash-tube-of-100-ml-2-1606979155.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
219897,Listerine Cavity Fighter Mouthwash Bottle Of 500 Ml,Listerine,270.75,https://cdn01.pharmeasy.in/dam/products_otc/I45640/listerine-cavity-fighter-mouthwash-bottle-of-500-ml-2-1600446837.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
175643,Himalaya Gentle Baby Shampoo Bottle Of 200 Ml,Himalaya Baby,136.00,https://cdn01.pharmeasy.in/dam/products_otc/090332/himalaya-gentle-baby-shampoo-200-ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
191853,Colgate Strong Teeth Toothpaste Tube Of 500 G Saver Pack,Colgate,184.45,https://cdn01.pharmeasy.in/dam/products_otc/I12599/colgate-toothpaste-strong-teeth-500gm-anti-cavity-saver-pack-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
227940,Stayfree Drymax Ultra All Nights Size Xl Sanitary Pads Packet Of 14,Stayfree,164.50,https://cdn01.pharmeasy.in/dam/products_otc/A27630/stayfree-drymax-ultra-all-nights-size-xl-sanitary-pads-packet-of-14-2-1600441026.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
488876,Gillette Venus (aloe Vera) Razor Blades For Women Pack Of 2,Gillette,287.04,https://cdn01.pharmeasy.in/dam/products_otc/Q86823/gillette-venus-razor-blades-for-women-aloe-vera-2-pieces-1-1593546052.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
4450,Luciara Moisturizer Tube Of 50 G,Luciara,461.28,https://cdn01.pharmeasy.in/dam/products_otc/239997/luciara-cream-50gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
231017,Clean & Clear Foaming Face Wash - 150ml,Clean & Clear,156.75,https://cdn01.pharmeasy.in/dam/products_otc/V83504/clean-clear-foaming-face-wash-150ml-2-1604309399.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
232222,Zandu Pure Honey Cinnamon Green Tea & Lemon Health Food Jar Of 500 G,Zandu,297.00,https://cdn01.pharmeasy.in/dam/products_otc/F89719/zandu-pure-honey-with-cinnamon-green-tea-lemon-500gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
2933678,Caladryl Skin Allergy Lotion For All Skin Types - 125ml,Caladryl,80.83,https://cdn01.pharmeasy.in/dam/products_otc/C10117/caladryl-skin-allergy-lotion-for-all-skin-types-125ml-2-1603884620.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
223620,Lite Glo Face Wash Tube Of 100 Ml,Lite Glo,243.75,https://cdn01.pharmeasy.in/dam/products_otc/C84012/lite-glo-face-wash-tube-of-100-ml-2-1606979155.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
219897,Listerine Cavity Fighter Mouthwash Bottle Of 500 Ml,Listerine,270.75,https://cdn01.pharmeasy.in/dam/products_otc/I45640/listerine-cavity-fighter-mouthwash-bottle-of-500-ml-2-1600446837.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
232694,Abzorb  Anti Fungal Soap  Wrap Of 100 G,ABZORB,131.75,https://cdn01.pharmeasy.in/dam/products_otc/F22228/abzorb-anti-fungal-soap-wrap-of-100-g-1-1607525026.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
225008,Venusia  Moisturizing Cream For Dry Sensitive Skin Box Of 100 G,Venusia,306.40,https://cdn01.pharmeasy.in/dam/products_otc/X39340/venusia-moisturizing-cream-for-dry-sensitive-skin-box-of-100-g-1-1607525843.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
501051,Everherb Aloe Vera Juice With Pulp - Rejuvenates Skin & Hair -1000ml Bottle,EverHerb,199.50,https://cdn01.pharmeasy.in/dam/products_otc/E54755/everherb-aloe-vera-juice-with-pulp-rejuvenates-skin-hair-1000ml-bottle-2-1600335938.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
12020,Candid  Soap  Wrap Of 125 G,CANDID,155.33,https://cdn01.pharmeasy.in/dam/products_otc/I02173/candid-soap-125gm-1-1597361807.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
218453,Colgate Plax Freshmint Alcohol-free Mouthwash Bottle Of 250 Ml,COLGATE,92.40,https://cdn01.pharmeasy.in/dam/products_otc/I44196/colgate-plax-fresh-mint-alcohol-free-mouthwash-250-ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
501050,Everherb Karela Jamun Juice - Helps Maintains Healthy Sugar Levels -helps In Weight Management- 1000ml Bottle,EverHerb,219.45,https://cdn01.pharmeasy.in/dam/products_otc/L79986/everherb-karela-jamun-juice-helps-maintains-healthy-sugar-levels-helps-in-weight-management-1000ml-bottle-2-1600336123.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
177481,"Friends Easy Adult Diapers Large Size, Waist 38-60 Inch, High Absorbency Anti-bacterial Core",Friends,393.75,https://cdn01.pharmeasy.in/dam/products_otc/080210/friends-easy-adult-diapers-large-pack-of-10-taped-diaper-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
487722,Moha Herbal Face Scrub Tube Of 200 G (buy 1 Get 1 Free),MOHA,155.00,https://cdn01.pharmeasy.in/dam/products_otc/S20716/moha-herbal-face-scrub-100gm-buy1-get1-free-1-1594398897.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
192192,Truderma Face Wash Bottle Of 150 Ml,TRUDERMA,399.00,https://cdn01.pharmeasy.in/dam/products_otc/I12938/truderma-face-wash-150ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
28427,Sebamed Clear Face Cleansing Foam Bottle Of 150 Ml,SEBAMED,493.00,https://cdn01.pharmeasy.in/dam/products_otc/196230/sebamed-clear-face-cleansing-foam-bottle-of-150-ml-2-1604063812.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
