title,description,price,images_url,location
Bus Stop Beside 1100 sft East Direction Apartment Flat Locality Uppal,"1100 sft 2nd FloorEast direction Full Wood Work 10 Years building Clear title Immediately registration 100% Vasth With all amenities Free LIKE : Lift, generator, Car parking            24/7 Security Full manjeera and Bore water avail Marble flooring ect... Locality of Flat Uppal  Balaji hills Near Venkateswara temple 2 km from warangal highwayNear Facilities International schools, Colleges Multi hospitals, banks, atm's Shopping malls, theaters Family restaurantsBeauty parlors ect...Best Price of Property RS/- 40,00,000for more details please contact me","₹ 40,00,000",https://apollo-singapore.akamaized.net:443/v1/files/tjo99iirsgg31-IN/image,"India, Telangana, Hyderabad, Uppal"
Independent house for sale at alwal near bolaram,"House for sale at alwal near bolaram, west facing, ground floor, 2bhk, 150 sq yards, 1250 sq ft built up area, ready to move property","₹ 85,00,000",https://apollo-singapore.akamaized.net:443/v1/files/yof2ep6c76191-IN/image,"India, Telangana, Hyderabad, Alwal"
3 bhk flats for sale at brindavan colony Tolichowki,Flats for sale 3 bhk @ brindavan colony Tolichowki near masjid e IslandA spacious enclosure for sunlight  &breeze Exquisitely planning Two liftsBranded fitingsProper ventilation Functionally superior Modern amenities Wide staircase Appealing exterior Water harvesting pit Invertors for individual flats For more details contact,"₹ 75,17,100",https://apollo-singapore.akamaized.net:443/v1/files/z07w5it3updc2-IN/image,"India, Telangana, Hyderabad, Sabza Colony"
Indipendent two side road home,"Independent Home on 138 sq yds .Two side road both sides 40 feet road. 2 bed room..one dining hall one sit out area.. one commom room ...all together 4 rooms ..Mallikarjuna colony, road no 4, old bowenpally secundrabad. Brokers stay away please .old home of 26 yrs... Rate fixed","₹ 86,00,000",https://apollo-singapore.akamaized.net:443/v1/files/qx3pm92bcaby2-IN/image,"India, Telangana, Secunderabad, Old Bowenpally"
1BHK Unfurnished Flat,1BHK Unfurnished Flat available in kondapur rent is 10k,"₹ 10,000",https://apollo-singapore.akamaized.net:443/v1/files/oh2uohpqtl3d1-IN/image,"India, Telangana, Hyderabad, Kondapur"
House for sale at alwal near bolaram,"House for sale at alwal near bolaram, new Construction, east facing, G+1, 4bhk, 167 sq yards, 2700 sq ft built up area, ready to move property","₹ 1,38,00,000",https://apollo-singapore.akamaized.net:443/v1/files/ad0x2tv6pq5q3-IN/image,"India, Telangana, Hyderabad, Alwal"
2 bhk Azampura,beside muslim hospital azampura,"₹ 46,00,000",https://apollo-singapore.akamaized.net:443/v1/files/m6yo2ei10tid-IN/image,"India, Telangana, Hyderabad, Usman Pura"
2 BHK on second floor @Pillar No. 194,"2 BHK flat available in a serene and official colony Ashok Vihar at pillar no. 194. It's the official colony of NMDC officers. If you like lot of greenery and clean air, this is the colony for you. Ample water - both ground and manjeera available. I'm unable to read your messages so contact me directly on my phone.","₹ 10,000",https://apollo-singapore.akamaized.net:443/v1/files/ga4nex1ok1in-IN/image,"India, Telangana, Hyderabad, Rajendra Nagar"
Independent house for sale in Badangpet,"Independent House for Sale. 180 sqr yards, West Face 36'x45', 2013 - Construction. No brokers","₹ 90,00,000",https://apollo-singapore.akamaized.net:443/v1/files/2hd9smkt8nb43-IN/image,"India, Telangana, Hyderabad, Badangpet"
Laxury Gated Community Flats For Sale,"2BHK & 3BHK HI-RISE PREMIUM GATED COMMUNITY FLATS @ Gopanapally(Financial Dist)680 PREMIUM LUXURY 2BHK&3BHK FLATS6.5 ACRES8 TOWERSG+9LUXURIOUS GATED COMMUNITY FLATS @GOPANPALLIBeside Wipro Office Giving World Class Aminities..BOOKING AMOUNTRS. 500000/-OPTION-1RS. 3699/- sq ftOne Time Payment Including Booking Amount (30days total payment ) OPTION-2RS. 4599/- Sq.ft50% Payment in 30 Days   Remaining 50% Payment Go for Loan or Construction wise Payment.OPTION-3 RS. 5599/- sq.Ft20% In a month Including Booking AmountRemaining 80% Bank loanOr Progress of Construction It Will Be Handover in  2023AMENITIES INCLUDE CLUB HOUSE AND CAR PARKING:2BHK--RS. 500000/-3BHK--RS. 650000/-RS. 30/- Floor Charges apply from 6th Floor onwards..East facing charges 100 extraLocation Highlights:1) Near by Financial District and QCity2) 10 Min to  Wipro Circle,All TOP MNC's3) 15 min Drive from Lingampalli and Gachibowli4) 30 Min to Shmshabad Airport5) 15min Drive from  DLF 6) 15 Min Drive from Hitec City","₹ 70,00,000",https://apollo-singapore.akamaized.net:443/v1/files/6kws10s0vlho-IN/image,"India, Telangana, Hyderabad, Gopanpally"
133 sq yards 1075 sft 2 bhk proposed house Yadgarpally,133 sq yards 1075 sft gated community venture HMDA VENTURE MAIN RODAnote 10% extra for amenities,"₹ 48,00,000",https://apollo-singapore.akamaized.net:443/v1/files/wej8kfo0obz5-IN/image,"India, Telangana, Hyderabad, Cheeriyal"
House for sale at alwal,"House for sale at alwal, new Construction, east facing, G+1, 2700 sft built up area, ready to move property","₹ 1,35,00,000",https://apollo-singapore.akamaized.net:443/v1/files/01o595kx6xdj3-IN/image,"India, Telangana, Hyderabad, Alwal"
ELEGANT HOMES,LUXURY INDEPENDENT HOUES GATKESAR150 SQYRD (1050 SFT)100% 3900000  50%CASH 50%LOAN 4500000   25%CASH  75%LOAN 5100000   BOOKING ADVANCE 500000 NEAR BY DEVELOPMENTS1. ACE ENGINEERING COLLEGE2. MEGHA ENGINEERING COLLEGE3. DELHI PUBLIC SCHOOL4. SRI KRISHNA COLLEGE5.UPPAL TO GATKESAR 16KM6. INFOSYS (POCHARAM) 10KM7. ORR 5KM8. WARANGAL HIGHWAY5KM,"₹ 39,00,000",https://apollo-singapore.akamaized.net:443/v1/files/jr7qknepfhnk1-IN/image,"India, Telangana, Hyderabad, Ghatkesar"
Triplex Villa for sale for at kompally,"Triplex Villa for sale at kompally near bolaram, east facing, 200 sq yards, 50ft road facing, 3500 sft built up area","₹ 1,90,00,000",https://apollo-singapore.akamaized.net:443/v1/files/1f9bq0vpk6nm3-IN/image,"India, Telangana, Hyderabad, Kompalli"
1 BHK Flat available for rent,"1 BHK Flat  available  for rent in Manikonda , Maruti nagar colony. All super markets and schools are walk able distance . It's a new standalone apartment with 24 hrs water , security and Lift facilities available. Rent includes maintenance, Ideal for small family/couple.Close to Hitech city Gachibowli 4 to 8 km radius Raheja Mind Space, Wells Fargo, Invesco, IBM, Accenture, Wipro Hitachi Deloitte Polaris,ICICI knowledge park Cyber Gateway Pearl TCS IBM Wells Fargo Microsoft etcPlease contact me for more information.","₹ 10,000",https://apollo-singapore.akamaized.net:443/v1/files/agt4i7n160xa1-IN/image,"India, Telangana, Hyderabad, Manikonda"
2BHK Semi Furnished Flat,"This is 2bhk semi furnished flat available in Sri Nagar Colony , Hyderabad only for family with car parking","₹ 20,000",https://apollo-singapore.akamaized.net:443/v1/files/4qhw7gzzg4yq2-IN/image,"India, Telangana, Hyderabad, Sri Nagar Colony"
Semi Furnished Flat on rent in Raghavendra colony 1bhk.,"Semi Furnished Flat on rent in Raghavendra colony 1bhk.House Amenities: Modular  Kitchen,cupboards,security,lift.","₹ 12,000",https://apollo-singapore.akamaized.net:443/v1/files/44qzkitcgey31-IN/image,"India, Telangana, Hyderabad, Raghavendra Colony"
URGENT 2 BHK FLAT FOR RENT/LEASE IN BANDLGUDA(newly constructed),2 BHK flat for rent or lease in prime location close to progress high school in subhan colony bandlguda.It consists of 1 bedroom with attached bathroom and drawing room with an hall and a kitchen.The flat is newly constructed with 24 hrs water supply and electricity connection.The rent is 8000 pm or lease at 6lakhs for 2 years. The price is slightly negotiable .Only serious tenants may contact.,"₹ 8,000",https://apollo-singapore.akamaized.net:443/v1/files/o1mywkdo9wi93-IN/image,"India, Telangana, Hyderabad, Bandlaguda"
2BHK Semi Furnished Flat,This is 2bhk flat available in kondapur,"₹ 17,000",https://apollo-singapore.akamaized.net:443/v1/files/z6h7v21uht5c3-IN/image,"India, Telangana, Hyderabad, Kondapur"
House for sale,"House for saleKorutla, jhansi road","₹ 35,60,000",https://apollo-singapore.akamaized.net:443/v1/files/m4mvuisam3xo1-IN/image,"India, Telangana, Koratla, Dheemuni Dubba"
"Ram Nagar, Gangaputra Colony, Parsigutta, HYD – Old Independent House","Ram Nagar, Gangaputra Colony, Parsigutta, HYD – Old Independent House is for sale172 sq.yardsEast Face28 feet wide roadPrice is 65 K per sq.yard Total of Rs. 1.12 cr. NegotiableGround Floor OnlyGood AreaPlease interested buyers only can callIf you are interested please call us at As we, SV Properties Real Estate Agents will charge Rs 2000/- towards consultancy charges and 1% commission on sale considerationSV Properties, Nallakunta, HYD","₹ 1,12,00,000",https://apollo-singapore.akamaized.net:443/v1/files/k7qrucvh20nb3-IN/image,"India, Telangana, Hyderabad, Ram Nagar"
"East Facing 2BHK Flat for sale in Aliens Elite, Miyapur","Well Designed East Facing 2 BHK apartment of 806 SFT is available for sale in Aliens Elite, a gated community located at Prashanth Nagar, Miyapur. The property is on 3rd floor (out of 5 floors per block) and is a corner flat with very good ventilation. Approx 1 Km from Mumbai Highway, 3.5 kms from Miyapur metro station, the property is available in a very decently maintained residential area which is close to many malls, schools and hospitals.The community has all the amenities like clubhouse, gym, swimming pool, park, children's play area, piped gas, community hall, indoor and outdoor sports etc...Flat is 10 yrs old. but comes with good construction quality and maintenance. Wood work is done in both bedrooms and kitchen.Sale price is INR 45,00000/- including reserved parking and amenities. Registration charges extra and to be borne by the buyer as per Govt norms.","₹ 45,00,000",https://apollo-singapore.akamaized.net:443/v1/files/kkb0nkb5hinc-IN/image,"India, Telangana, Hyderabad, Madinaguda"
